DiseaseID,DiseaseMappedID
D003920,0
D008175,1
D000544,2
D010003,3
D002357,4
D001943,5
D009203,6
D058186,7
D009765,8
D005757,9
D034701,10
D006566,11
D000072716,12
D056770,13
D006967,14
D003872,15
D000077273,16
D020964,17
D000077277,18
D011225,19
D012559,20
D010051,21
D000795,22
D010024,23
D002583,24
D000086382,25
D003924,26
D015179,27
D000072660,28
D012175,29
D008171,30
D002289,31
D000077195,32
D018239,33
D010300,34
D008545,35
D003110,36
D018805,37
D007822,38
D012516,39
D017544,40
D014657,41
D001249,42
D004769,43
D013981,44
D006949,45
D008228,46
D008113,47
D008103,48
D018281,49
D002296,50
D002658,51
D006333,52
D013274,53
D008268,54
D003930,55
D006689,56
D002386,57
D000077216,58
D058922,59
D009298,60
D001172,61
D002561,62
D009190,63
D010505,64
D014376,65
D066126,66
D013119,67
D009101,68
D007674,69
D011236,70
D010520,71
D006526,72
D016640,73
D001661,74
D011471,75
D002318,76
D007246,77
D053713,78
D006528,79
D002779,80
D024821,81
D006323,82
D050500,83
D005910,84
D000081029,85
D008223,86
D015459,87
D009133,88
D001749,89
D003865,90
D029424,91
D064726,92
D015433,93
D009767,94
D001281,95
D003928,96
D007249,97
D001022,98
D001228,99
D020370,100
D015451,101
D006457,102
D055959,103
D000751,104
D012164,105
D006332,106
D000075222,107
D013964,108
D000077274,109
D007938,110
D020371,111
D006402,112
D010911,113
D011085,114
D012509,115
D010182,116
D011230,117
D007333,118
D001008,119
D001523,120
D010922,121
D019970,122
D018218,123
D011658,124
D019636,125
D001289,126
D004314,127
D003922,128
D008107,129
D012173,130
D000163,131
D006509,132
D058249,133
D020345,134
D004806,135
D005922,136
D012128,137
D005355,138
D001327,139
D055370,140
D000437,141
D005909,142
D012595,143
D058065,144
D020961,145
D011832,146
D050197,147
D008269,148
D016403,149
D002545,150
D002972,151
D054990,152
D016889,153
D009157,154
D000026,155
D064129,156
D006973,157
D058226,158
D000077192,159
D015212,160
D020388,161
D015428,162
D008659,163
D017379,164
D010190,165
D009062,166
D011671,167
C535608,168
D014029,169
D002292,170
D002295,171
D000083242,172
D000236,173
C537017,174
D060825,175
C536494,176
D014397,177
D009103,178
D003424,179
D013921,180
D011655,181
D009442,182
D009456,183
D015535,184
D053201,185
D015464,186
D012859,187
D003324,188
D004715,189
D054198,190
D003327,191
D004833,192
D004827,193
D005317,194
D006976,195
D006561,196
D016543,197
D015470,198
D008527,199
D059226,200
D002294,201
D052016,202
D065626,203
D009447,204
D006223,205
D016393,206
C535531,207
D063647,208
D002446,209
C562602,210
D014277,211
D002280,212
D017545,213
D010534,214
D015427,215
D014605,216
D017086,217
D003072,218
D014929,219
D018269,220
D005706,221
D000860,222
D002278,223
D007511,224
D013272,225
D008288,226
D014890,227
D003876,228
D065627,229
D010001,230
D007248,231
D003323,232
D009080,233
D057765,234
D000755,235
D054058,236
D004938,237
D004719,238
D011014,239
D050171,240
C536629,241
D018979,242
D000690,243
D055113,244
D011470,245
D009202,246
D014947,247
D014652,248
D056735,249
D010518,250
D008180,251
