DrugBankID,DrugIndex,DiseaseID,DiseaseIndex,miRNA,miRNAIndex
DB00783,1.0,D003920,1,let-7a,1.0
DB00773,2.0,D008175,2,let-7e,2.0
DB03843,3.0,D000544,3,let-7d,3.0
DB00331,4.0,D010003,4,let-7c,4.0
DB00544,5.0,D002357,5,let-7b,5.0
DB01169,6.0,D001943,6,let-7g,6.0
DB00169,7.0,D009203,7,let-7i,7.0
DB00467,8.0,D058186,8,let-7f,8.0
DB00997,9.0,D009765,9,,
DB01128,10.0,D005757,10,,
DB00755,11.0,D034701,11,,
DB00907,12.0,D006566,12,,
DB00853,13.0,D000072716,13,,
DB01262,14.0,D056770,14,,
DB04224,15.0,D006967,15,,
DB01006,16.0,D003872,16,,
,,D000077273,17,,
,,D020964,18,,
,,D000077277,19,,
,,D011225,20,,
,,D012559,21,,
,,D010051,22,,
,,D000795,23,,
,,D010024,24,,
,,D002583,25,,
,,D000086382,26,,
,,D003924,27,,
,,D015179,28,,
,,D000072660,29,,
,,D012175,30,,
,,D008171,31,,
,,D002289,32,,
,,D000077195,33,,
,,D018239,34,,
,,D010300,35,,
,,D008545,36,,
,,D003110,37,,
,,D018805,38,,
,,D007822,39,,
,,D012516,40,,
,,D017544,41,,
,,D014657,42,,
,,D001249,43,,
,,D004769,44,,
,,D013981,45,,
,,D006949,46,,
,,D008228,47,,
,,D008113,48,,
,,D008103,49,,
,,D018281,50,,
,,D002296,51,,
,,D002658,52,,
,,D006333,53,,
,,D013274,54,,
,,D008268,55,,
,,D003930,56,,
,,D006689,57,,
,,D002386,58,,
,,D000077216,59,,
,,D058922,60,,
,,D009298,61,,
,,D001172,62,,
,,D002561,63,,
,,D009190,64,,
,,D010505,65,,
,,D014376,66,,
,,D066126,67,,
,,D013119,68,,
,,D009101,69,,
,,D007674,70,,
,,D011236,71,,
,,D010520,72,,
,,D006526,73,,
,,D016640,74,,
,,D001661,75,,
,,D011471,76,,
,,D002318,77,,
,,D007246,78,,
,,D053713,79,,
,,D006528,80,,
,,D002779,81,,
,,D024821,82,,
,,D006323,83,,
,,D050500,84,,
,,D005910,85,,
,,D000081029,86,,
,,D008223,87,,
,,D015459,88,,
,,D009133,89,,
,,D001749,90,,
,,D003865,91,,
,,D029424,92,,
,,D064726,93,,
,,D015433,94,,
,,D009767,95,,
,,D001281,96,,
,,D003928,97,,
,,D007249,98,,
,,D001022,99,,
,,D001228,100,,
,,D020370,101,,
,,D015451,102,,
,,D006457,103,,
,,D055959,104,,
,,D000751,105,,
,,D012164,106,,
,,D006332,107,,
,,D000075222,108,,
,,D013964,109,,
,,D000077274,110,,
,,D007938,111,,
,,D020371,112,,
,,D006402,113,,
,,D010911,114,,
,,D011085,115,,
,,D012509,116,,
,,D010182,117,,
,,D011230,118,,
,,D007333,119,,
,,D001008,120,,
,,D001523,121,,
,,D010922,122,,
,,D019970,123,,
,,D018218,124,,
,,D011658,125,,
,,D019636,126,,
,,D001289,127,,
,,D004314,128,,
,,D003922,129,,
,,D008107,130,,
,,D012173,131,,
,,D000163,132,,
,,D006509,133,,
,,D058249,134,,
,,D020345,135,,
,,D004806,136,,
,,D005922,137,,
,,D012128,138,,
,,D005355,139,,
,,D001327,140,,
,,D055370,141,,
,,D000437,142,,
,,D005909,143,,
,,D012595,144,,
,,D058065,145,,
,,D020961,146,,
,,D011832,147,,
,,D050197,148,,
,,D008269,149,,
,,D016403,150,,
,,D002545,151,,
,,D002972,152,,
,,D054990,153,,
,,D016889,154,,
,,D009157,155,,
,,D000026,156,,
,,D064129,157,,
,,D006973,158,,
,,D058226,159,,
,,D000077192,160,,
,,D015212,161,,
,,D020388,162,,
,,D015428,163,,
,,D008659,164,,
,,D017379,165,,
,,D010190,166,,
,,D009062,167,,
,,D011671,168,,
,,C535608,169,,
,,D014029,170,,
,,D002292,171,,
,,D002295,172,,
,,D000083242,173,,
,,D000236,174,,
,,C537017,175,,
,,D060825,176,,
,,C536494,177,,
,,D014397,178,,
,,D009103,179,,
,,D003424,180,,
,,D013921,181,,
,,D011655,182,,
,,D009442,183,,
,,D009456,184,,
,,D015535,185,,
,,D053201,186,,
,,D015464,187,,
,,D012859,188,,
,,D003324,189,,
,,D004715,190,,
,,D054198,191,,
,,D003327,192,,
,,D004833,193,,
,,D004827,194,,
,,D005317,195,,
,,D006976,196,,
,,D006561,197,,
,,D016543,198,,
,,D015470,199,,
,,D008527,200,,
,,D059226,201,,
,,D002294,202,,
,,D052016,203,,
,,D065626,204,,
,,D009447,205,,
,,D006223,206,,
,,D016393,207,,
,,C535531,208,,
,,D063647,209,,
,,D002446,210,,
,,C562602,211,,
,,D014277,212,,
,,D002280,213,,
,,D017545,214,,
,,D010534,215,,
,,D015427,216,,
,,D014605,217,,
,,D017086,218,,
,,D003072,219,,
,,D014929,220,,
,,D018269,221,,
,,D005706,222,,
,,D000860,223,,
,,D002278,224,,
,,D007511,225,,
,,D013272,226,,
,,D008288,227,,
,,D014890,228,,
,,D003876,229,,
,,D065627,230,,
,,D010001,231,,
,,D007248,232,,
,,D003323,233,,
,,D009080,234,,
,,D057765,235,,
,,D000755,236,,
,,D054058,237,,
,,D004938,238,,
,,D004719,239,,
,,D011014,240,,
,,D050171,241,,
,,C536629,242,,
,,D018979,243,,
,,D000690,244,,
,,D055113,245,,
,,D011470,246,,
,,D009202,247,,
,,D014947,248,,
,,D014652,249,,
,,D056735,250,,
,,D010518,251,,
,,D008180,252,,
